collabora-1  | Certificate request self-signature ok
collabora-1  | subject=C=DE, ST=BW, L=Stuttgart, O=Dummy Authority, CN=localhost
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.903476 +0000 [ coolwsd ] TRC  Pre-read 175 file(s) from directory: /usr/share/coolwsd/browser/dist/l10n: help-ca.json help-gd.json ui-ja.json ui-af.json localizations.json help-oc.json ui-bg.json ui-hi.json ui-cs.json help-eu.json help-sk.json ui-oc.json help-lt.json ui-id.json help-hy.json ui-ia.json help-hi.json help-localizations.json help-af.json ui-ne.json help-gug.json help-ne.json ui-ga.json ui-vec.json help-brx.json help-lv.json ui-gug.json help-vec.json ui-pt.json ui-nl.json ui-si.json help-hr.json ui-pa_IN.json ui-br.json help-en_CA.json locore-localizations.json uno-localizations-override.json help-vi.json ui-da.json help-fi.json ui-pl.json ui-kab.json ui-pt_BR.json help-nb.json help-fy.json ui-jv.json ui-eo.json ui-de.json help-it.json ui-uz.json help-uz.json ui-zh_CN.json help-hu.json help-jv.json help-lo.json help-kab.json ui-be.json ui-gd.json help-sq.json help-sv.json help-pl.json help-br.json ui-ml.json ui-or.json help-en_NZ.json ui-ru.json help-gl.json help-ug.json ui-kk.json ui-en_AU.json help-or.json help-pa_IN.json ui-tr.json ui-fa.json help-en_GB.json help-ja.json ui-ar.json help-ro.json help-eo.json help-bg.json help-en_AU.json help-am.json help-ru.json ui-sv.json ui-zh_TW.json ui-et.json ui-fy.json help-fr.json help-ca-valencia.json help-bs.json ui-sk.json ui-fr.json ui-an.json help-kk.json help-is.json ui-bn.json ui-sq.json help-cy.json help-nn.json ui-fi.json help-et.json help-dsb.json help-be_Latn.json ui-en_CA.json help-da.json ui-sl.json help-ml.json ui-is.json help-be.json ui-nb.json ui-he.json ui-hsb.json ui-ast.json help-ab.json ui-gl.json help-ar.json ui-bar.json ui-eu.json ui-th.json help-kn.json ui-hr.json ui-lv.json help-he.json help-zh_CN.json ui-en_ZA.json ui-el.json help-hsb.json ui-cy.json help-en_ZA.json help-ga.json help-el.json ui-ta.json help-cs.json uno-localizations.json help-pt.json help-es.json help-pt_BR.json ui-nn.json ui-hy.json ui-be_Latn.json ui-lo.json help-tg.json help-nl.json ui-ro.json help-mn.json help-sl.json ui-bs.json help-bn.json help-fa.json ui-vi.json ui-it.json help-zh_TW.json ui-en_NZ.json ui-ca.json ui-ug.json ui-ab.json ui-am.json help-tr.json help-uk.json help-ia.json help-ast.json ui-uk.json help-id.json ui-dsb.json ui-ca-valencia.json ui-ko.json ui-es.json help-ady.json help-si.json ui-hu.json help-de.json ui-lt.json help-ko.json help-ta.json ui-en_GB.json | wsd/FileServer.cpp:1406
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.936071 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/src]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.952933 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/src/layer]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.953046 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/src/layer/tile]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.953507 +0000 [ coolwsd ] TRC  Pre-read 1 file(s) from directory: /usr/share/coolwsd/browser/dist/src/layer/tile: CanvasTileUtils.js | wsd/FileServer.cpp:1406
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.953687 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/src/app]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:07.954204 +0000 [ coolwsd ] TRC  Pre-read 1 file(s) from directory: /usr/share/coolwsd/browser/dist/src/app: TaskWorker.js | wsd/FileServer.cpp:1406
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.026396 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/welcome]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.035721 +0000 [ coolwsd ] TRC  Pre-read 8 file(s) from directory: /usr/share/coolwsd/browser/dist/welcome: welcome.css slide1-center.png welcome.js slide1-right.png welcome.html slide3.png slide2.png slide1-left.png | wsd/FileServer.cpp:1406
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.294819 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/nextcloud]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.301457 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/nextcloud/images]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.317097 +0000 [ coolwsd ] DBG  Caching files in [/usr/share/coolwsd/browser/dist/nextcloud/images/es]| wsd/FileServer.cpp:1265
collabora-1  | wsd-00001-00001 2026-03-01 11:52:08.318590 +0000 [ coolwsd ] TRC  Pre-read 7 file(s) from directory: /usr/share/coolwsd/browser/dist/nextcloud/images/es: lc_strikeout.svg lc_italic.svg sc_underline.svg sc_italic.svg lc_underline.svg sc_bold.svg lc_bold.svg | wsd/FileServer.cpp:1406
